EventCode,UMask,EventName,Description,Counter,OverFlow,MSRIndex,MSRValue,PreciseEvent,Invert,AnyThread,EdgeDetect
"0x00","0x01","INST_RETIRED.ANY","This event counts the number of instructions retired from execution. For instructions that consist of multiple micro-ops, this event counts the retirement of the last micro-op of the instruction. Counting continues during hardware interrupts, traps, and inside interrupt handlers. 
Notes: INST_RETIRED.ANY is counted by a designated fixed counter, leaving the four (eight when Hyperthreading is disabled) programmable counters available for other events. INST_RETIRED.ANY_P is counted by a programmable counter and it is an architectural performance event. 
Counting: Faulting executions of GETSEC/VM entry/VM Exit/MWait will not count as retired instructions.","Fixed counter 1","2000003","0","0","0","0","0","0"
"0x00","0x02","CPU_CLK_UNHALTED.THREAD","This event counts the number of core cycles while the core is not in a halt state. The core enters the halt state when it is running the HLT instruction. This event is a component in many key event ratios. The core frequency may change from time to time due to transitions associated with Enhanced Intel SpeedStep Technology or TM2. For this reason this event may have a changing ratio with regards to time. When the core frequency is constant, this event can approximate elapsed time while the core was not in the halt state. It is counted on a dedicated fixed counter, leaving the four (eight when Hyperthreading is disabled) programmable counters available for other events. ","Fixed counter 2","2000003","0","0","0","0","0","0"
"0x00","0x03","CPU_CLK_UNHALTED.REF_TSC","This event counts the number of reference cycles when the core is not in a halt state. The core enters the halt state when it is running the HLT instruction or the MWAIT instruction. This event is not affected by core frequency changes (for example, P states, TM2 transitions) but has the same incrementing frequency as the time stamp counter. This event can approximate elapsed time while the core was not in a halt state. This event has a constant ratio with the CPU_CLK_UNHALTED.REF_XCLK event. It is counted on a dedicated fixed counter, leaving the four (eight when Hyperthreading is disabled) programmable counters available for other events. 
Note: On all current platforms this event stops counting during 'throttling (TM)' states duty off periods the processor is 'halted'.  This event is clocked by base clock (100 Mhz) on Sandy Bridge. The counter update is done at a lower clock rate then the core clock the overflow status bit for this counter may appear 'sticky'.  After the counter has overflowed and software clears the overflow status bit and resets the counter to less than MAX. The reset value to the counter is not clocked immediately so the overflow status bit will flip 'high (1)' and generate another PMI (if enabled) after which the reset value gets clocked into the counter. Therefore, software will get the interrupt, read the overflow status bit '1 for bit 34 while the counter value is less than MAX. Software should ignore this case.","Fixed counter 3","2000003","0","0","0","0","0","0"
"0x03","0x02","LD_BLOCKS.STORE_FORWARD","This event counts how many times the load operation got the true Block-on-Store blocking code preventing store forwarding. This includes cases when:
 - preceding store conflicts with the load (incomplete overlap);
 - store forwarding is impossible due to u-arch limitations;
 - preceding lock RMW operations are not forwarded;
 - store has the no-forward bit set (uncacheable/page-split/masked stores);
 - all-blocking stores are used (mostly, fences and port I/O);
and others.
The most common case is a load blocked due to its address range overlapping with a preceding smaller uncompleted store. Note: This event does not take into account cases of out-of-SW-control (for example, SbTailHit), unknown physical STA, and cases of blocking loads on store due to being non-WB memory type or a lock. These cases are covered by other events.
See the table of not supported store forwards in the Optimization Guide.","0,1,2,3","100003","0","0","0","0","0","0"
"0x03","0x08","LD_BLOCKS.NO_SR","This event counts the number of times that split load operations are temporarily blocked because all resources for handling the split accesses are in use.","0,1,2,3","100003","0","0","0","0","0","0"
"0x05","0x01","MISALIGN_MEM_REF.LOADS","This event counts speculative cache-line split load uops dispatched to the L1 cache.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x05","0x02","MISALIGN_MEM_REF.STORES","This event counts speculative cache line split store-address (STA) uops dispatched to the L1 cache.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x07","0x01","LD_BLOCKS_PARTIAL.ADDRESS_ALIAS","False dependencies in MOB due to partial compare on address","0,1,2,3","100003","0","0","0","0","0","0"
"0x08","0x88","DTLB_LOAD_MISSES.LARGE_PAGE_WALK_COMPLETED","Page walk for a large page completed for Demand load ","0,1,2,3","100003","0","0","0","0","0","0"
"0x0D","0x03","INT_MISC.RECOVERY_CYCLES","Cycles checkpoints in Resource Allocation Table (RAT) are recovering from JEClear or machine clear","0,1,2,3","2000003","0","0","0","0","0","0"
"0x0D","0x03","INT_MISC.RECOVERY_STALLS_COUNT","Edge detect applied to INT_MISC.RECOVERY_STALLS_CYCLE, thus counts occurrences.","0,1,2,3","2000003","0","0","0","0","0","1"
"0x0E","0x01","UOPS_ISSUED.ANY","This event counts the number of Uops issued by the Resource Allocation Table (RAT) to the reservation station (RS).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x0E","0x01","UOPS_ISSUED.STALL_CYCLES","This event counts cycles during which the Resource Allocation Table (RAT) does not issue any Uops to the reservation station (RS) for the current thread.","0,1,2,3","2000003","0","0","0","1","0","0"
"0x0E","0x01","UOPS_ISSUED.CORE_STALL_CYCLES","This event counts cycles during which the Resource Allocation Table (RAT) does not issue any Uops to the reservation station (RS) for all hyperthreads.","0,1,2,3","2000003","0","0","0","1","1","0"
"0x0E","0x10","UOPS_ISSUED.FLAGS_MERGE","Number of flags-merge uops being allocated. Such uops considered perf sensitive; added by GSR u-arch.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x0E","0x20","UOPS_ISSUED.SLOW_LEA","Number of slow LEA uops being allocated. A uop is generally considered SlowLea if it has 3 sources (e.g. 2 sources + immediate) regardless if as a result of LEA instruction or not.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x0E","0x40","UOPS_ISSUED.SINGLE_MUL","Number of Multiply packed/scalar single precision uops allocated","0,1,2,3","2000003","0","0","0","0","0","0"
"0x10","0x01","FP_COMP_OPS_EXE.X87","Counts the number of x87 FP Computational Uops Executed this cycle. The number of FADD, FSUB, FCOM, FMULs, integer MULsand IMULs, FDIVs, FPREMs, FSQRTS, integer DIVs, and IDIVs. This event does not distinguish an FADD used in the middle of a transcendental flow from a separate FADD instruction.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x10","0x10","FP_COMP_OPS_EXE.SSE_PACKED_DOUBLE","Number of SSE* or AVX-128 FP Computational packed double-precision uops issued this cycle","0,1,2,3","2000003","0","0","0","0","0","0"
"0x10","0x20","FP_COMP_OPS_EXE.SSE_SCALAR_SINGLE","Number of SSE* or AVX-128 FP Computational scalar single-precision uops issued this cycle","0,1,2,3","2000003","0","0","0","0","0","0"
"0x10","0x40","FP_COMP_OPS_EXE.SSE_PACKED_SINGLE","Number of SSE* or AVX-128 FP Computational packed single-precision uops issued this cycle","0,1,2,3","2000003","0","0","0","0","0","0"
"0x10","0x80","FP_COMP_OPS_EXE.SSE_SCALAR_DOUBLE","Number of SSE* or AVX-128 FP Computational scalar double-precision uops issued this cycle","0,1,2,3","2000003","0","0","0","0","0","0"
"0x11","0x01","SIMD_FP_256.PACKED_SINGLE","This events counts the number of AVX-256 Computational FP single precision uops issued during the cycle.
Note: Packed AVX-256 can be counted as one, and will count for SIMD FP 128.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x11","0x02","SIMD_FP_256.PACKED_DOUBLE","This event counts the number of AVX-256 Computational FP double precision uops issued during the cycle.
Note: Packed AVX-256 can be counted as one, and will count for SIMD FP 128.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x14","0x01","ARITH.FPU_DIV_ACTIVE","This event counts the cycles when the divider is busy executing divide or sqrt operations. An additional constant number of (6) cycles to be added per operation. Use edge-detect and a cmask value of 1 on this counter to get the number of the divide operations executed (see ARITH.FPU_DIV).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x14","0x04","ARITH.FPU_DIV","This event counts the number of the divide operations executed. Uses edge-detect and a cmask value of 1 on ARITH.FPU_DIV_ACTIVE to get the number of the divide operations executed","0,1,2,3","100003","0","0","0","0","0","1"
"0x24","0x01","L2_RQSTS.DEMAND_DATA_RD_HIT","This event counts the number of demand Data Read requests (including requests from L1D hardware prefetchers) that hit L2 cache. Only not rejected loads are counted.","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x04","L2_RQSTS.RFO_HIT","This event counts the number of RFO (read for ownership) requests that hit L2 cache. L2 RFO requests include both L1D demand RFO misses as well as L1D RFO prefetches.LLC prefetch new types","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x08","L2_RQSTS.RFO_MISS","This event counts the number of RFO requests that miss L2 cache. L2 RFO requests include both L1D demand RFO misses as well as L1D RFO prefetches.","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x10","L2_RQSTS.CODE_RD_HIT","This event counts the number of L2 cache hits when fetching instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x20","L2_RQSTS.CODE_RD_MISS","This event counts the number of L2 cache misses when fetching instructions","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x40","L2_RQSTS.PF_HIT","This event counts the number of requests from the L2 hardware prefetchers that hit L2 cache. LLC prefetch new types","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x80","L2_RQSTS.PF_MISS","This event counts the number of requests from the L2 hardware prefetchers that miss L2 cache.","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x03","L2_RQSTS.ALL_DEMAND_DATA_RD","This event counts the number of demand Data Read requests (including requests from L1D hardware prefetchers). These loads may hit or miss L2 cache. Only non rejected loads are counted.","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x0C","L2_RQSTS.ALL_RFO","This event counts the total number of RFO (read for ownership) requests to L2 cache. L2 RFO requests include both L1D demand RFO misses as well as L1D RFO prefetches.","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0x30","L2_RQSTS.ALL_CODE_RD","This event counts the total number of L2 code requests.","0,1,2,3","200003","0","0","0","0","0","0"
"0x24","0xC0","L2_RQSTS.ALL_PF","This event counts the total number of requests from the L2 hardware prefetchers.","0,1,2,3","200003","0","0","0","0","0","0"
"0x27","0x01","L2_STORE_LOCK_RQSTS.MISS","This event counts the number of RFO operations that miss the cache lines (access lines in the Invalid state). These RFO operations are results of the regular RFO or Lock requests.","0,1,2,3","200003","0","0","0","0","0","0"
"0x27","0x08","L2_STORE_LOCK_RQSTS.HIT_M","This event counts the number of RFO operations that hit cache lines in the Modified state. These RFO operations are results of the regular RFO or Lock requests. Cache lines in the Modified state are those which content differs from the content in the memory.","0,1,2,3","200003","0","0","0","0","0","0"
"0x27","0x0F","L2_STORE_LOCK_RQSTS.ALL","This event counts the total number of RFO operations that access cache lines in any state (invalid, shared, exclusive, or modified). These RFO operations are results of the regular RFO or Lock requests.","0,1,2,3","200003","0","0","0","0","0","0"
"0x28","0x01","L2_L1D_WB_RQSTS.MISS","This event counts the number of not rejected writebacks from L1D to L2 cache lines in the Invalid state. This includes, for example, modified lines evicted from L1 cache and missed L2 cache.","0,1,2,3","200003","0","0","0","0","0","0"
"0x28","0x04","L2_L1D_WB_RQSTS.HIT_E","This event counts the number of not rejected writebacks from L1D to L2 cache lines in the Exclusive state.","0,1,2,3","200003","0","0","0","0","0","0"
"0x28","0x08","L2_L1D_WB_RQSTS.HIT_M","This event counts the number of not rejected writebacks from L1D to L2 cache lines in the Modified state.
Note: This includes rejections for all the masks.","0,1,2,3","200003","0","0","0","0","0","0"
"0x28","0x0F","L2_L1D_WB_RQSTS.ALL","This event counts the number of not rejected writebacks from L1D to L2 cache lines in any state.","0,1,2,3","200003","0","0","0","0","0","0"
"0x2E","0x41","LONGEST_LAT_CACHE.MISS","This event counts core-originated cacheable demand requests that miss the last level cache (LLC). Demand requests include loads, RFOs, and hardware prefetches from L1D, and instruction fetches from IFU.","0,1,2,3","100003","0","0","0","0","0","0"
