"Event ID"	"UMASK"	"OTHER"	"COUNTER"	"NAME"	"DESCRIPTION"	"OVERFLOW"	"PRECISE_EVENT"	"LATENCY"	"MSR_INDEX"	"MSR_VALUE"
"0x14"	"0x1"	"0x53"	"0,1,2,3"	"ARITH.CYCLES_DIV_BUSY"	"Cycles the divider is busy"	2000000	0	0	0	0
"0x14"	"0x1"	"0x1D7"	"0,1,2,3"	"ARITH.DIV"	"Divide Operations executed"	2000000	0	0	0	0
"0x14"	"0x2"	"0x53"	"0,1,2,3"	"ARITH.MUL"	"Multiply operations executed"	2000000	0	0	0	0
"0xE6"	"0x2"	"0x53"	"0,1,2,3"	"BACLEAR.BAD_TARGET"	"BACLEAR asserted with bad target address"	2000000	0	0	0	0
"0xE6"	"0x1"	"0x53"	"0,1,2,3"	"BACLEAR.CLEAR"	"BACLEAR asserted, regardless of cause "	2000000	0	0	0	0
"0xA7"	"0x1"	"0x53"	"0,1,2,3"	"BACLEAR_FORCE_IQ"	"Instruction queue forced BACLEAR"	2000000	0	0	0	0
"0xE8"	"0x1"	"0x53"	"0,1,2,3"	"BPU_CLEARS.EARLY"	"Early Branch Prediciton Unit clears"	2000000	0	0	0	0
"0xE8"	"0x2"	"0x53"	"0,1,2,3"	"BPU_CLEARS.LATE"	"Late Branch Prediction Unit clears"	2000000	0	0	0	0
"0xE5"	"0x1"	"0x53"	"0,1,2,3"	"BPU_MISSED_CALL_RET"	"Branch prediction unit missed call or return"	2000000	0	0	0	0
"0xE0"	"0x1"	"0x53"	"0,1,2,3"	"BR_INST_DECODED"	"Branch instructions decoded"	2000000	0	0	0	0
"0x88"	"0x7F"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.ANY"	"Branch instructions executed"	200000	0	0	0	0
"0x88"	"0x1"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.COND"	"Conditional branch instructions executed"	200000	0	0	0	0
"0x88"	"0x2"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.DIRECT"	"Unconditional branches executed"	200000	0	0	0	0
"0x88"	"0x10"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.DIRECT_NEAR_CALL"	"Unconditional call branches executed"	20000	0	0	0	0
"0x88"	"0x20"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.INDIRECT_NEAR_CALL"	"Indirect call branches executed"	20000	0	0	0	0
"0x88"	"0x4"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.INDIRECT_NON_CALL"	"Indirect non call branches executed"	20000	0	0	0	0
"0x88"	"0x30"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.NEAR_CALLS"	"Call branches executed"	20000	0	0	0	0
"0x88"	"0x7"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.NON_CALLS"	"All non call branches executed"	200000	0	0	0	0
"0x88"	"0x8"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.RETURN_NEAR"	"Indirect return branches executed"	20000	0	0	0	0
"0x88"	"0x40"	"0x53"	"0,1,2,3"	"BR_INST_EXEC.TAKEN"	"Taken branches executed"	200000	0	0	0	0
"0xC4"	"0x4"	"0x53"	"0,1,2,3"	"BR_INST_RETIRED.ALL_BRANCHES"	"Retired branch instructions (Precise Event)"	200000	1	0	0	0
"0xC4"	"0x1"	"0x53"	"0,1,2,3"	"BR_INST_RETIRED.CONDITIONAL"	"Retired conditional branch instructions (Precise Event)"	200000	1	0	0	0
"0xC4"	"0x2"	"0x53"	"0,1,2,3"	"BR_INST_RETIRED.NEAR_CALL"	"Retired near call instructions (Precise Event)"	20000	1	0	0	0
"0xC4"	"0x2"	"0x51"	"0,1,2,3"	"BR_INST_RETIRED.NEAR_CALL_R3"	"Retired near call instructions Ring 3 only(Precise Event)"	20000	1	0	0	0
"0x89"	"0x7F"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.ANY"	"Mispredicted branches executed"	20000	0	0	0	0
"0x89"	"0x1"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.COND"	"Mispredicted conditional branches executed"	20000	0	0	0	0
"0x89"	"0x2"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.DIRECT"	"Mispredicted unconditional branches executed"	20000	0	0	0	0
"0x89"	"0x10"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.DIRECT_NEAR_CALL"	"Mispredicted non call branches executed"	2000	0	0	0	0
"0x89"	"0x20"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.INDIRECT_NEAR_CALL"	"Mispredicted indirect call branches executed"	2000	0	0	0	0
"0x89"	"0x4"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.INDIRECT_NON_CALL"	"Mispredicted indirect non call branches executed"	2000	0	0	0	0
"0x89"	"0x30"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.NEAR_CALLS"	"Mispredicted call branches executed"	2000	0	0	0	0
"0x89"	"0x7"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.NON_CALLS"	"Mispredicted non call branches executed"	20000	0	0	0	0
"0x89"	"0x8"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.RETURN_NEAR"	"Mispredicted return branches executed"	2000	0	0	0	0
"0x89"	"0x40"	"0x53"	"0,1,2,3"	"BR_MISP_EXEC.TAKEN"	"Mispredicted taken branches executed"	20000	0	0	0	0
"0xC5"	"0x2"	"0x53"	"0,1,2,3"	"BR_MISP_RETIRED.NEAR_CALL"	"Mispredicted near retired calls (Precise Event)"	2000	1	0	0	0
"0x63"	"0x2"	"0x53"	"0,1"	"CACHE_LOCK_CYCLES.L1D"	"Cycles L1D locked"	2000000	0	0	0	0
"0x63"	"0x1"	"0x53"	"0,1"	"CACHE_LOCK_CYCLES.L1D_L2"	"Cycles L1D and L2 locked"	2000000	0	0	0	0
"0x0"	"0x0"	"0x53"	"fixed"	"CPU_CLK_UNHALTED.REF"	"Reference cycles when thread is not halted (fixed counter)"	2000000	0	0	0	0
"0x3C"	"0x1"	"0x53"	"0,1,2,3"	"CPU_CLK_UNHALTED.REF_P"	"Reference base clock (133 Mhz) cycles when thread is not halted (programmable counter)"	100000	0	0	0	0
"0x0"	"0x0"	"0x53"	"fixed"	"CPU_CLK_UNHALTED.THREAD"	"Cycles when thread is not halted (fixed counter)"	2000000	0	0	0	0
"0x3C"	"0x0"	"0x53"	"0,1,2,3"	"CPU_CLK_UNHALTED.THREAD_P"	"Cycles when thread is not halted (programmable counter)"	2000000	0	0	0	0
"0x3C"	"0x0"	"0x2D3"	"0,1,2,3"	"CPU_CLK_UNHALTED.TOTAL_CYCLES"	"Total CPU cycles"	2000000	0	0	0	0
"0x8"	"0x1"	"0x53"	"0,1,2,3"	"DTLB_LOAD_MISSES.ANY"	"DTLB load misses"	200000	0	0	0	0
"0x8"	"0x20"	"0x53"	"0,1,2,3"	"DTLB_LOAD_MISSES.PDE_MISS"	"DTLB load miss caused by low part of address"	200000	0	0	0	0
"0x8"	"0x10"	"0x53"	"0,1,2,3"	"DTLB_LOAD_MISSES.STLB_HIT"	"DTLB second level hit"	2000000	0	0	0	0
"0x8"	"0x2"	"0x53"	"0,1,2,3"	"DTLB_LOAD_MISSES.WALK_COMPLETED"	"DTLB load miss page walks complete"	200000	0	0	0	0
"0x49"	"0x1"	"0x53"	"0,1,2,3"	"DTLB_MISSES.ANY"	"DTLB misses"	200000	0	0	0	0
"0x49"	"0x10"	"0x53"	"0,1,2,3"	"DTLB_MISSES.STLB_HIT"	"DTLB first level misses but second level hit"	200000	0	0	0	0
"0x49"	"0x2"	"0x53"	"0,1,2,3"	"DTLB_MISSES.WALK_COMPLETED"	"DTLB miss page walks"	200000	0	0	0	0
"0xD5"	"0x1"	"0x53"	"0,1,2,3"	"ES_REG_RENAMES"	"ES segment renames"	2000000	0	0	0	0
"0xF7"	"0x1"	"0x53"	"0,1,2,3"	"FP_ASSIST.ALL"	"X87 Floating point assists (Precise Event)"	20000	1	0	0	0
"0xF7"	"0x4"	"0x53"	"0,1,2,3"	"FP_ASSIST.INPUT"	"X87 Floating poiint assists for invalid input value (Precise Event)"	20000	1	0	0	0
"0xF7"	"0x2"	"0x53"	"0,1,2,3"	"FP_ASSIST.OUTPUT"	"X87 Floating point assists for invalid output value (Precise Event)"	20000	1	0	0	0
"0x10"	"0x2"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.MMX"	"MMX Uops"	2000000	0	0	0	0
"0x10"	"0x80"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.SSE_DOUBLE_PRECISION"	"SSE* FP double precision Uops"	2000000	0	0	0	0
"0x10"	"0x4"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.SSE_FP"	"SSE and SSE2 FP Uops"	2000000	0	0	0	0
"0x10"	"0x10"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.SSE_FP_PACKED"	"SSE FP packed Uops"	2000000	0	0	0	0
"0x10"	"0x20"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.SSE_FP_SCALAR"	"SSE FP scalar Uops"	2000000	0	0	0	0
"0x10"	"0x40"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.SSE_SINGLE_PRECISION"	"SSE* FP single precision Uops"	2000000	0	0	0	0
"0x10"	"0x8"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.SSE2_INTEGER"	"SSE2 integer Uops"	2000000	0	0	0	0
"0x10"	"0x1"	"0x53"	"0,1,2,3"	"FP_COMP_OPS_EXE.X87"	"Computational floating-point operations executed"	2000000	0	0	0	0
"0xCC"	"0x3"	"0x53"	"0,1,2,3"	"FP_MMX_TRANS.ANY"	"All Floating Point to and from MMX transitions"	2000000	0	0	0	0
"0xCC"	"0x1"	"0x53"	"0,1,2,3"	"FP_MMX_TRANS.TO_FP"	"Transitions from MMX to Floating Point instructions"	2000000	0	0	0	0
"0xCC"	"0x2"	"0x53"	"0,1,2,3"	"FP_MMX_TRANS.TO_MMX"	"Transitions from Floating Point to MMX instructions"	2000000	0	0	0	0
"0x87"	"0xF"	"0x53"	"0,1,2,3"	"ILD_STALL.ANY"	"Any Instruction Length Decoder stall cycles"	2000000	0	0	0	0
"0x87"	"0x4"	"0x53"	"0,1,2,3"	"ILD_STALL.IQ_FULL"	"Instruction Queue full stall cycles"	2000000	0	0	0	0
"0x87"	"0x1"	"0x53"	"0,1,2,3"	"ILD_STALL.LCP"	"Length Change Prefix stall cycles"	2000000	0	0	0	0
"0x87"	"0x2"	"0x53"	"0,1,2,3"	"ILD_STALL.MRU"	"Stall cycles due to BPU MRU bypass"	2000000	0	0	0	0
"0x87"	"0x8"	"0x53"	"0,1,2,3"	"ILD_STALL.REGEN"	"Regen stall cycles"	2000000	0	0	0	0
"0x18"	"0x1"	"0x53"	"0,1,2,3"	"INST_DECODED.DEC0"	"Instructions that must be decoded by decoder 0"	2000000	0	0	0	0
"0x1E"	"0x1"	"0x53"	"0,1,2,3"	"INST_QUEUE_WRITE_CYCLES"	"Cycles instructions are written to the instruction queue"	2000000	0	0	0	0
"0x17"	"0x1"	"0x53"	"0,1,2,3"	"INST_QUEUE_WRITES"	"Instructions written to instruction queue."	2000000	0	0	0	0
"0x0"	"0x0"	"0x53"	"fixed"	"INST_RETIRED.ANY"	"Instructions retired (fixed counter)"	2000000	0	0	0	0
"0xC0"	"0x1"	"0x53"	"0,1,2,3"	"INST_RETIRED.ANY_P"	"Instructions retired (Programmable counter and Precise Event)"	2000000	1	0	0	0
"0xC0"	"0x4"	"0x53"	"0,1,2,3"	"INST_RETIRED.MMX"	"Retired MMX instructions (Precise Event)"	2000000	1	0	0	0
"0xC0"	"0x1"	"0x10D3"	"0,1,2,3"	"INST_RETIRED.TOTAL_CYCLES"	"Total cycles (Precise Event)"	2000000	1	0	0	0
"0xC0"	"0x2"	"0x53"	"0,1,2,3"	"INST_RETIRED.X87"	"Retired floating-point operations (Precise Event)"	2000000	1	0	0	0
"0x6C"	"0x1"	"0x53"	"0,1,2,3"	"IO_TRANSACTIONS"	"I/O transactions"	2000000	0	0	0	0
"0xAE"	"0x1"	"0x53"	"0,1,2,3"	"ITLB_FLUSH"	"ITLB flushes"	2000000	0	0	0	0
"0xC8"	"0x20"	"0x53"	"0,1,2,3"	"ITLB_MISS_RETIRED"	"Retired instructions that missed the ITLB (Precise Event)"	200000	1	0	0	0
"0x85"	"0x1"	"0x53"	"0,1,2,3"	"ITLB_MISSES.ANY"	"ITLB miss"	200000	0	0	0	0
"0x85"	"0x2"	"0x53"	"0,1,2,3"	"ITLB_MISSES.WALK_COMPLETED"	"ITLB miss page walks"	200000	0	0	0	0
"0x51"	"0x4"	"0x53"	"0,1"	"L1D.M_EVICT"	"L1D cache lines replaced in M state "	2000000	0	0	0	0
"0x51"	"0x2"	"0x53"	"0,1"	"L1D.M_REPL"	"L1D cache lines allocated in the M state"	2000000	0	0	0	0
"0x51"	"0x8"	"0x53"	"0,1"	"L1D.M_SNOOP_EVICT"	"L1D snoop eviction of cache lines in M state"	2000000	0	0	0	0
"0x51"	"0x1"	"0x53"	"0,1"	"L1D.REPL"	"L1 data cache lines allocated"	2000000	0	0	0	0
"0x43"	"0x1"	"0x53"	"0,1"	"L1D_ALL_REF.ANY"	"All references to the L1 data cache"	2000000	0	0	0	0
"0x43"	"0x2"	"0x53"	"0,1"	"L1D_ALL_REF.CACHEABLE"	"L1 data cacheable reads and writes"	2000000	0	0	0	0
"0x40"	"0x4"	"0x53"	"0,1"	"L1D_CACHE_LD.E_STATE"	"L1 data cache read in E state"	2000000	0	0	0	0
"0x40"	"0x1"	"0x53"	"0,1"	"L1D_CACHE_LD.I_STATE"	"L1 data cache read in I state (misses)"	2000000	0	0	0	0
"0x40"	"0x8"	"0x53"	"0,1"	"L1D_CACHE_LD.M_STATE"	"L1 data cache read in M state"	2000000	0	0	0	0
"0x40"	"0xF"	"0x53"	"0,1"	"L1D_CACHE_LD.MESI"	"L1 data cache reads"	2000000	0	0	0	0
"0x40"	"0x2"	"0x53"	"0,1"	"L1D_CACHE_LD.S_STATE"	"L1 data cache read in S state"	2000000	0	0	0	0
"0x42"	"0x4"	"0x53"	"0,1"	"L1D_CACHE_LOCK.E_STATE"	"L1 data cache load locks in E state"	2000000	0	0	0	0
"0x42"	"0x1"	"0x53"	"0,1"	"L1D_CACHE_LOCK.HIT"	"L1 data cache load lock hits"	2000000	0	0	0	0
"0x42"	"0x8"	"0x53"	"0,1"	"L1D_CACHE_LOCK.M_STATE"	"L1 data cache load locks in M state"	2000000	0	0	0	0
"0x42"	"0x2"	"0x53"	"0,1"	"L1D_CACHE_LOCK.S_STATE"	"L1 data cache load locks in S state"	2000000	0	0	0	0
"0x53"	"0x1"	"0x53"	"0,1"	"L1D_CACHE_LOCK_FB_HIT"	"L1D load lock accepted in fill buffer"	2000000	0	0	0	0
"0x52"	"0x1"	"0x53"	"0,1"	"L1D_CACHE_PREFETCH_LOCK_FB_HIT"	"L1D prefetch load lock accepted in fill buffer"	2000000	0	0	0	0
"0x41"	"0x4"	"0x53"	"0,1"	"L1D_CACHE_ST.E_STATE"	"L1 data cache stores in E state"	2000000	0	0	0	0
"0x41"	"0x8"	"0x53"	"0,1"	"L1D_CACHE_ST.M_STATE"	"L1 data cache stores in M state"	2000000	0	0	0	0
"0x41"	"0x2"	"0x53"	"0,1"	"L1D_CACHE_ST.S_STATE"	"L1 data cache stores in S state"	2000000	0	0	0	0
"0x4E"	"0x2"	"0x53"	"0,1"	"L1D_PREFETCH.MISS"	"L1D hardware prefetch misses"	200000	0	0	0	0
"0x4E"	"0x1"	"0x53"	"0,1"	"L1D_PREFETCH.REQUESTS"	"L1D hardware prefetch requests"	200000	0	0	0	0
"0x4E"	"0x4"	"0x53"	"0,1"	"L1D_PREFETCH.TRIGGERS"	"L1D hardware prefetch requests triggered"	200000	0	0	0	0
"0x28"	"0x4"	"0x53"	"0,1,2,3"	"L1D_WB_L2.E_STATE"	"L1 writebacks to L2 in E state"	100000	0	0	0	0
"0x28"	"0x1"	"0x53"	"0,1,2,3"	"L1D_WB_L2.I_STATE"	"L1 writebacks to L2 in I state (misses)"	100000	0	0	0	0
"0x28"	"0x8"	"0x53"	"0,1,2,3"	"L1D_WB_L2.M_STATE"	"L1 writebacks to L2 in M state"	100000	0	0	0	0
"0x28"	"0xF"	"0x53"	"0,1,2,3"	"L1D_WB_L2.MESI"	"All L1 writebacks to L2"	100000	0	0	0	0
"0x28"	"0x2"	"0x53"	"0,1,2,3"	"L1D_WB_L2.S_STATE"	"L1 writebacks to L2 in S state"	100000	0	0	0	0
